head	display_name	rows	in_shopping	majority_category	concentration	poi_type	store_kind	already_in_dictionary
minipreco	Minipreço	292	16	discount_store	0.989	store	any	False
parfois	Parfois	158	0	fashion_accessories_store	0.911	store	fashion_accessories	True
opticas multiopticas	Ópticas MultiOpticas	112	12	eyewear_and_optician	0.93	store	eyewear_and_optician	False
sport zone	Sport Zone	100	14	sports_wear	0.64	store	sports	True
united colors	United Colors	96	0	clothing_store	0.979	store	clothing	False
multiopticas	MultiOpticas	87	3	eyewear_and_optician	0.988	store	eyewear_and_optician	True
intimissimi	Intimissimi	75	0	clothing_store	0.693	store	clothing	True
radio popular	Radio Popular	69	0	electronics	0.652	store	electronics	True
lanidor woman	Lanidor Woman	61	0	womens_clothing_store	0.836	store	womens_clothing	False
bershka	Bershka	60	0	clothing_store	0.933	store	clothing	True
lidl	Lidl	60	0	discount_store	1.0	store	any	False
opticalia	Opticalia	56	36	eyewear_and_optician	0.95	store	eyewear_and_optician	True
audika	Audika	55	0	hearing_aid_provider	1.0	store	hearing_aid_provider	False
pull bear	Pull &	53	0	clothing_store	0.981	store	clothing	True
springfield	Springfield	48	0	clothing_store	0.958	store	clothing	True
mais optica	Mais Optica	46	6	eyewear_and_optician	0.925	store	eyewear_and_optician	False
kiko milano	Kiko Milano	45	22	cosmetic_and_beauty_supplies	0.87	store	beauty	True
massimo dutti	Massimo Dutti	45	0	mens_clothing_store	0.844	store	mens_clothing	True
tezenis	Tezenis	45	0	clothing_store	0.622	store	clothing	True
tiffosi	Tiffosi	42	0	clothing_store	0.81	store	clothing	False
zara	Zara	41	0	clothing_store	0.829	store	clothing	True
kiwoko mundo	Kiwoko. Mundo	36	0	pet_store	1.0	store	pet	True
claire s	Claire's	36	6	fashion_accessories_store	0.9	store	fashion_accessories	False
stradivarius	Stradivarius	36	0	womens_clothing_store	0.694	store	womens_clothing	True
levi s	Levi's	36	1	clothing_store	0.943	store	clothing	False
sunglass hut	Sunglass Hut	35	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
pandora	Pandora	35	0	jewelry_store	0.971	store	jewelry	True
acustica medica	ACÚSTICA MÉDICA	35	0	hearing_aid_provider	0.971	store	hearing_aid_provider	False
chicco	Chicco	34	0	childrens_clothing_store	0.971	store	childrens_clothing	False
bertrand	Bertrand	34	0	bookstore	1.0	store	books	True
rituals	Rituals	33	8	cosmetic_and_beauty_supplies	0.92	store	beauty	True
the body	The Body	32	1	cosmetic_and_beauty_supplies	0.742	store	beauty	False
alain afflelou	Alain Afflelou	32	7	eyewear_and_optician	1.0	store	eyewear_and_optician	True
